question_id,image,acceptance_set,targets,scene_form,primary_label,primary_measure_degrees,secondary_label,secondary_measure_degrees,comparison_summary
angle_estimation_0001_open_q1,angle_estimation_0001.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=298; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,298,none,none,reflex
angle_estimation_1288_open_q1,angle_estimation_1288.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=344; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,344,none,none,reflex
angle_estimation_1289_open_q1,angle_estimation_1289.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=116; secondary_label=Angle 2; secondary_measure_degrees=73; comparison_summary=wider-to-narrower ratio 1.58""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,116,Angle 2,73,wider-to-narrower ratio 1.58
angle_estimation_1290_open_q1,angle_estimation_1290.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=134; secondary_label=Angle 2; secondary_measure_degrees=116; comparison_summary=wider-to-narrower ratio 1.15""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,134,Angle 2,116,wider-to-narrower ratio 1.15
angle_estimation_1291_open_q1,angle_estimation_1291.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=58; secondary_label=Angle 2; secondary_measure_degrees=30; comparison_summary=wider-to-narrower ratio 1.9""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,58,Angle 2,30,wider-to-narrower ratio 1.9
angle_estimation_1292_open_q1,angle_estimation_1292.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=101; secondary_label=Angle 2; secondary_measure_degrees=76; comparison_summary=wider-to-narrower ratio 1.32""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,101,Angle 2,76,wider-to-narrower ratio 1.32
angle_estimation_1293_open_q1,angle_estimation_1293.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=100; secondary_label=Angle 1; secondary_measure_degrees=18; comparison_summary=wider-to-narrower ratio 5.41""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,100,Angle 1,18,wider-to-narrower ratio 5.41
angle_estimation_1294_open_q1,angle_estimation_1294.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=62; secondary_label=Angle 2; secondary_measure_degrees=22; comparison_summary=wider-to-narrower ratio 2.82""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,62,Angle 2,22,wider-to-narrower ratio 2.82
angle_estimation_1295_open_q1,angle_estimation_1295.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=109; secondary_label=Angle 1; secondary_measure_degrees=72; comparison_summary=wider-to-narrower ratio 1.51""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,109,Angle 1,72,wider-to-narrower ratio 1.51
angle_estimation_1296_open_q1,angle_estimation_1296.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=89; secondary_label=B; secondary_measure_degrees=37; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,89,B,37,middle vertex C
angle_estimation_1297_open_q1,angle_estimation_1297.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=90; secondary_label=B; secondary_measure_degrees=43; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,90,B,43,middle vertex C
angle_estimation_1298_open_q1,angle_estimation_1298.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=90; secondary_label=C; secondary_measure_degrees=44; comparison_summary=middle vertex B""]","[""the printed vertex A""]",labelled triangle,A,90,C,44,middle vertex B
angle_estimation_1299_open_q1,angle_estimation_1299.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=89; secondary_label=B; secondary_measure_degrees=33; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,89,B,33,middle vertex C
angle_estimation_1300_open_q1,angle_estimation_1300.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=90; secondary_label=B; secondary_measure_degrees=29; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,90,B,29,middle vertex C
angle_estimation_1301_open_q1,angle_estimation_1301.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=290; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,290,none,none,reflex
angle_estimation_1302_open_q1,angle_estimation_1302.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=206; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,206,none,none,reflex
angle_estimation_1303_open_q1,angle_estimation_1303.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=307; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,307,none,none,reflex
angle_estimation_1304_open_q1,angle_estimation_1304.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=299; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,299,none,none,reflex
angle_estimation_1305_open_q1,angle_estimation_1305.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=90; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,90,none,none,minor
angle_estimation_1306_open_q1,angle_estimation_1306.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=173; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,173,none,none,minor
angle_estimation_1307_open_q1,angle_estimation_1307.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=246; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,246,none,none,reflex
angle_estimation_1308_open_q1,angle_estimation_1308.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=71; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,71,none,none,minor
angle_estimation_1309_open_q1,angle_estimation_1309.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=93; secondary_label=Angle 1; secondary_measure_degrees=47; comparison_summary=wider-to-narrower ratio 2.0""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,93,Angle 1,47,wider-to-narrower ratio 2.0
angle_estimation_1310_open_q1,angle_estimation_1310.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=55; secondary_label=Angle 2; secondary_measure_degrees=32; comparison_summary=wider-to-narrower ratio 1.7""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,55,Angle 2,32,wider-to-narrower ratio 1.7
angle_estimation_1311_open_q1,angle_estimation_1311.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=163; secondary_label=Angle 2; secondary_measure_degrees=23; comparison_summary=wider-to-narrower ratio 7.12""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,163,Angle 2,23,wider-to-narrower ratio 7.12
angle_estimation_1312_open_q1,angle_estimation_1312.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=137; secondary_label=Angle 1; secondary_measure_degrees=91; comparison_summary=wider-to-narrower ratio 1.49""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,137,Angle 1,91,wider-to-narrower ratio 1.49
angle_estimation_1313_open_q1,angle_estimation_1313.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=56; secondary_label=Angle 1; secondary_measure_degrees=28; comparison_summary=wider-to-narrower ratio 2.01""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,56,Angle 1,28,wider-to-narrower ratio 2.01
angle_estimation_1314_open_q1,angle_estimation_1314.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=127; secondary_label=Angle 2; secondary_measure_degrees=47; comparison_summary=wider-to-narrower ratio 2.72""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,127,Angle 2,47,wider-to-narrower ratio 2.72
angle_estimation_1315_open_q1,angle_estimation_1315.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=79; secondary_label=Angle 1; secondary_measure_degrees=53; comparison_summary=wider-to-narrower ratio 1.5""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,79,Angle 1,53,wider-to-narrower ratio 1.5
angle_estimation_1316_open_q1,angle_estimation_1316.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=103; secondary_label=B; secondary_measure_degrees=23; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,103,B,23,middle vertex C
angle_estimation_1317_open_q1,angle_estimation_1317.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=106; secondary_label=C; secondary_measure_degrees=33; comparison_summary=middle vertex B""]","[""the printed vertex A""]",labelled triangle,A,106,C,33,middle vertex B
angle_estimation_1318_open_q1,angle_estimation_1318.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=121; secondary_label=B; secondary_measure_degrees=21; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,121,B,21,middle vertex C
angle_estimation_1319_open_q1,angle_estimation_1319.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=101; secondary_label=B; secondary_measure_degrees=30; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,101,B,30,middle vertex C
angle_estimation_1320_open_q1,angle_estimation_1320.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=131; secondary_label=B; secondary_measure_degrees=24; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,131,B,24,middle vertex C
angle_estimation_1321_open_q1,angle_estimation_1321.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=226; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,226,none,none,reflex
angle_estimation_1322_open_q1,angle_estimation_1322.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=305; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,305,none,none,reflex
angle_estimation_1323_open_q1,angle_estimation_1323.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=131; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,131,none,none,minor
angle_estimation_1324_open_q1,angle_estimation_1324.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=143; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,143,none,none,minor
angle_estimation_1325_open_q1,angle_estimation_1325.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=45; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,45,none,none,minor
angle_estimation_1326_open_q1,angle_estimation_1326.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=341; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,341,none,none,reflex
angle_estimation_1327_open_q1,angle_estimation_1327.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=189; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,189,none,none,reflex
angle_estimation_1328_open_q1,angle_estimation_1328.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=124; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,124,none,none,minor
angle_estimation_1329_open_q1,angle_estimation_1329.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=84; secondary_label=Angle 1; secondary_measure_degrees=18; comparison_summary=wider-to-narrower ratio 4.76""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,84,Angle 1,18,wider-to-narrower ratio 4.76
angle_estimation_1330_open_q1,angle_estimation_1330.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=138; secondary_label=Angle 2; secondary_measure_degrees=45; comparison_summary=wider-to-narrower ratio 3.04""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,138,Angle 2,45,wider-to-narrower ratio 3.04
angle_estimation_1331_open_q1,angle_estimation_1331.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=88; secondary_label=Angle 2; secondary_measure_degrees=71; comparison_summary=wider-to-narrower ratio 1.24""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,88,Angle 2,71,wider-to-narrower ratio 1.24
angle_estimation_1332_open_q1,angle_estimation_1332.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=63; secondary_label=Angle 1; secondary_measure_degrees=36; comparison_summary=wider-to-narrower ratio 1.76""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,63,Angle 1,36,wider-to-narrower ratio 1.76
angle_estimation_1333_open_q1,angle_estimation_1333.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=159; secondary_label=Angle 2; secondary_measure_degrees=24; comparison_summary=wider-to-narrower ratio 6.69""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,159,Angle 2,24,wider-to-narrower ratio 6.69
angle_estimation_1334_open_q1,angle_estimation_1334.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=130; secondary_label=Angle 2; secondary_measure_degrees=15; comparison_summary=wider-to-narrower ratio 8.75""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,130,Angle 2,15,wider-to-narrower ratio 8.75
angle_estimation_1335_open_q1,angle_estimation_1335.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=66; secondary_label=Angle 2; secondary_measure_degrees=29; comparison_summary=wider-to-narrower ratio 2.27""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,66,Angle 2,29,wider-to-narrower ratio 2.27
angle_estimation_1336_open_q1,angle_estimation_1336.png,"[""scene_form=labelled triangle; primary_label=C; primary_measure_degrees=70; secondary_label=B; secondary_measure_degrees=42; comparison_summary=middle vertex A""]","[""the printed vertex A""]",labelled triangle,C,70,B,42,middle vertex A
angle_estimation_1337_open_q1,angle_estimation_1337.png,"[""scene_form=labelled triangle; primary_label=C; primary_measure_degrees=65; secondary_label=B; secondary_measure_degrees=54; comparison_summary=middle vertex A""]","[""the printed vertex A""]",labelled triangle,C,65,B,54,middle vertex A
angle_estimation_1338_open_q1,angle_estimation_1338.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=70; secondary_label=C; secondary_measure_degrees=47; comparison_summary=middle vertex B""]","[""the printed vertex A""]",labelled triangle,A,70,C,47,middle vertex B
angle_estimation_1339_open_q1,angle_estimation_1339.png,"[""scene_form=labelled triangle; primary_label=B; primary_measure_degrees=80; secondary_label=A; secondary_measure_degrees=43; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,B,80,A,43,middle vertex C
angle_estimation_1340_open_q1,angle_estimation_1340.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=70; secondary_label=B; secondary_measure_degrees=54; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,70,B,54,middle vertex C
angle_estimation_1341_open_q1,angle_estimation_1341.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=204; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,204,none,none,reflex
angle_estimation_1342_open_q1,angle_estimation_1342.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=157; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,157,none,none,minor
angle_estimation_1343_open_q1,angle_estimation_1343.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=81; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,81,none,none,minor
angle_estimation_1344_open_q1,angle_estimation_1344.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=141; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,141,none,none,minor
angle_estimation_1345_open_q1,angle_estimation_1345.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=90; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,90,none,none,minor
angle_estimation_1346_open_q1,angle_estimation_1346.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=239; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,239,none,none,reflex
angle_estimation_1347_open_q1,angle_estimation_1347.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=198; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,198,none,none,reflex
angle_estimation_1348_open_q1,angle_estimation_1348.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=82; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,82,none,none,minor
angle_estimation_1349_open_q1,angle_estimation_1349.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=108; secondary_label=Angle 2; secondary_measure_degrees=65; comparison_summary=wider-to-narrower ratio 1.67""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,108,Angle 2,65,wider-to-narrower ratio 1.67
angle_estimation_1350_open_q1,angle_estimation_1350.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=103; secondary_label=Angle 1; secondary_measure_degrees=47; comparison_summary=wider-to-narrower ratio 2.21""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,103,Angle 1,47,wider-to-narrower ratio 2.21
angle_estimation_1351_open_q1,angle_estimation_1351.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=80; secondary_label=Angle 1; secondary_measure_degrees=15; comparison_summary=wider-to-narrower ratio 5.23""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,80,Angle 1,15,wider-to-narrower ratio 5.23
angle_estimation_1352_open_q1,angle_estimation_1352.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=127; secondary_label=Angle 2; secondary_measure_degrees=43; comparison_summary=wider-to-narrower ratio 2.91""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,127,Angle 2,43,wider-to-narrower ratio 2.91
angle_estimation_1353_open_q1,angle_estimation_1353.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=165; secondary_label=Angle 2; secondary_measure_degrees=59; comparison_summary=wider-to-narrower ratio 2.82""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,165,Angle 2,59,wider-to-narrower ratio 2.82
angle_estimation_1354_open_q1,angle_estimation_1354.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=65; secondary_label=Angle 1; secondary_measure_degrees=35; comparison_summary=wider-to-narrower ratio 1.86""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,65,Angle 1,35,wider-to-narrower ratio 1.86
angle_estimation_1355_open_q1,angle_estimation_1355.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=145; secondary_label=Angle 1; secondary_measure_degrees=42; comparison_summary=wider-to-narrower ratio 3.48""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,145,Angle 1,42,wider-to-narrower ratio 3.48
angle_estimation_1356_open_q1,angle_estimation_1356.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=91; secondary_label=B; secondary_measure_degrees=42; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,91,B,42,middle vertex C
angle_estimation_1357_open_q1,angle_estimation_1357.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=91; secondary_label=B; secondary_measure_degrees=34; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,91,B,34,middle vertex C
angle_estimation_1358_open_q1,angle_estimation_1358.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=91; secondary_label=C; secondary_measure_degrees=41; comparison_summary=middle vertex B""]","[""the printed vertex A""]",labelled triangle,A,91,C,41,middle vertex B
angle_estimation_1359_open_q1,angle_estimation_1359.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=89; secondary_label=B; secondary_measure_degrees=38; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,89,B,38,middle vertex C
angle_estimation_1360_open_q1,angle_estimation_1360.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=89; secondary_label=B; secondary_measure_degrees=30; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,89,B,30,middle vertex C
angle_estimation_1361_open_q1,angle_estimation_1361.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=127; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,127,none,none,minor
angle_estimation_1362_open_q1,angle_estimation_1362.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=220; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,220,none,none,reflex
angle_estimation_1363_open_q1,angle_estimation_1363.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=37; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,37,none,none,minor
angle_estimation_1364_open_q1,angle_estimation_1364.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=64; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,64,none,none,minor
angle_estimation_1365_open_q1,angle_estimation_1365.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=90; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,90,none,none,minor
angle_estimation_1366_open_q1,angle_estimation_1366.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=188; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,188,none,none,reflex
angle_estimation_1367_open_q1,angle_estimation_1367.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=45; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,45,none,none,minor
angle_estimation_1368_open_q1,angle_estimation_1368.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=211; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,211,none,none,reflex
angle_estimation_1369_open_q1,angle_estimation_1369.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=130; secondary_label=Angle 1; secondary_measure_degrees=26; comparison_summary=wider-to-narrower ratio 5.0""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,130,Angle 1,26,wider-to-narrower ratio 5.0
angle_estimation_1370_open_q1,angle_estimation_1370.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=51; secondary_label=Angle 2; secondary_measure_degrees=26; comparison_summary=wider-to-narrower ratio 2.0""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,51,Angle 2,26,wider-to-narrower ratio 2.0
angle_estimation_1371_open_q1,angle_estimation_1371.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=118; secondary_label=Angle 1; secondary_measure_degrees=63; comparison_summary=wider-to-narrower ratio 1.87""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,118,Angle 1,63,wider-to-narrower ratio 1.87
angle_estimation_1372_open_q1,angle_estimation_1372.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=168; secondary_label=Angle 1; secondary_measure_degrees=97; comparison_summary=wider-to-narrower ratio 1.74""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,168,Angle 1,97,wider-to-narrower ratio 1.74
angle_estimation_1373_open_q1,angle_estimation_1373.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=50; secondary_label=Angle 2; secondary_measure_degrees=29; comparison_summary=wider-to-narrower ratio 1.7""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,50,Angle 2,29,wider-to-narrower ratio 1.7
angle_estimation_1374_open_q1,angle_estimation_1374.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=118; secondary_label=Angle 1; secondary_measure_degrees=62; comparison_summary=wider-to-narrower ratio 1.91""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,118,Angle 1,62,wider-to-narrower ratio 1.91
angle_estimation_1375_open_q1,angle_estimation_1375.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=98; secondary_label=Angle 2; secondary_measure_degrees=54; comparison_summary=wider-to-narrower ratio 1.82""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,98,Angle 2,54,wider-to-narrower ratio 1.82
angle_estimation_1376_open_q1,angle_estimation_1376.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=128; secondary_label=B; secondary_measure_degrees=23; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,128,B,23,middle vertex C
angle_estimation_1377_open_q1,angle_estimation_1377.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=102; secondary_label=C; secondary_measure_degrees=32; comparison_summary=middle vertex B""]","[""the printed vertex A""]",labelled triangle,A,102,C,32,middle vertex B
angle_estimation_1378_open_q1,angle_estimation_1378.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=132; secondary_label=B; secondary_measure_degrees=19; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,132,B,19,middle vertex C
angle_estimation_1379_open_q1,angle_estimation_1379.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=108; secondary_label=B; secondary_measure_degrees=35; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,108,B,35,middle vertex C
angle_estimation_1380_open_q1,angle_estimation_1380.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=130; secondary_label=B; secondary_measure_degrees=17; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,130,B,17,middle vertex C
angle_estimation_1381_open_q1,angle_estimation_1381.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=325; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,325,none,none,reflex
angle_estimation_1382_open_q1,angle_estimation_1382.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=316; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,316,none,none,reflex
angle_estimation_1383_open_q1,angle_estimation_1383.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=341; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,341,none,none,reflex
